query_id,class,x_hex,y_hex,site_a,site_b,expected_kind,expected_status,expected_region_id
141,random,0x1.f4aea15c00000p-1,0x1.689b601e00000p+1,,,,,
142,random,0x1.1d7e97a580000p+2,0x1.94f922ae00000p+1,,,,,
143,random,0x1.ec4e398580000p+2,0x1.e110e3e100000p+2,,,,,
144,random,0x1.f688343480000p+2,0x1.155e3b0b00000p+2,,,,,
145,random,0x1.f0dd14c580000p+2,0x1.fa14ab9900000p+2,,,,,
146,random,0x1.573bb49cc0000p+3,0x1.7783895000000p-2,,,,,
147,random,0x1.5137142900000p+1,0x1.e18d270700000p+2,,,,,
148,random,0x1.9bf1117380000p+2,0x1.40fa9c7d00000p+2,,,,,
149,random,0x1.aacbf3cb80000p+2,0x1.6886926200000p+1,,,,,
150,random,0x1.567258d400000p-1,0x1.5e9c51f600000p+1,,,,,
151,random,0x1.80468f1680000p+2,0x1.8f48d07600000p+1,,,,,
152,random,0x1.05e4a09b00000p+1,0x1.1c2a516700000p+2,,,,,
153,random,0x1.376b3980c0000p+3,0x1.77b4e6d600000p+1,,,,,
154,random,0x1.eb0f98cb00000p+1,0x1.64d18bf600000p+1,,,,,
155,random,0x1.af1e354280000p+2,0x1.88cadff500000p+2,,,,,
156,random,0x1.bf867d2000000p-4,0x1.f88d05fe00000p+1,,,,,
157,random,0x1.0fd1bdc840000p+3,0x1.059b2db800000p-1,,,,,
158,random,0x1.ab658cf400000p-1,0x1.15c5132500000p+2,,,,,
159,random,0x1.4ee7dfd3c0000p+3,0x1.9237087200000p+1,,,,,
160,random,0x1.60886bdd00000p+1,0x1.28ef978600000p+1,,,,,
161,random,0x1.537ef28b00000p+1,0x1.726f34cf00000p+2,,,,,
162,random,0x1.27a6edf580000p+2,0x1.196220dd00000p+2,,,,,
163,random,0x1.b3a56e6b80000p+2,0x1.c195ccad00000p+2,,,,,
164,random,0x1.70a7288a40000p+3,0x1.11fccaf000000p-2,,,,,
165,random,0x1.47e892ad40000p+3,0x1.91cbd94b00000p+2,,,,,
166,random,0x1.86b87c9880000p+2,0x1.dd9e9e0800000p-1,,,,,
167,random,0x1.608194b8c0000p+3,0x1.59c6ad6b00000p+2,,,,,
168,random,0x1.a51faaa280000p+2,0x1.29a81b0300000p+2,,,,,
169,random,0x1.933904c280000p+2,0x1.9fdfc09800000p-1,,,,,
170,random,0x1.58d36f6900000p+1,0x1.16985a3a00000p+1,,,,,
171,random,0x1.473b72d480000p+2,0x1.52fe704600000p+1,,,,,
172,random,0x1.580c68e0c0000p+3,0x1.8d74db2300000p+2,,,,,
173,random,0x1.a7b19d1d00000p+1,0x1.5bbc6c1600000p+1,,,,,
174,random,0x1.12f20960c0000p+3,0x1.7ef6d1b700000p+2,,,,,
175,random,0x1.0b68042340000p+3,0x1.e359f5dc00000p+0,,,,,
176,random,0x1.b84ec63280000p+2,0x1.0c7d4cbc00000p+0,,,,,
177,random,0x1.624f08dc80000p+2,0x1.32d6f16000000p-3,,,,,
178,random,0x1.d7ef331600000p+0,0x1.a940d2f200000p+1,,,,,
179,random,0x1.076894f4c0000p+3,0x1.6862cc4000000p-4,,,,,
180,random,0x1.563381edc0000p+3,0x1.e142321e00000p+1,,,,,
181,random,0x1.3101d0a280000p+2,0x1.5b17710000000p-6,,,,,
182,random,0x1.f17ece8c00000p-1,0x1.e48ac2cf00000p+2,,,,,
183,random,0x1.37ac18be80000p+2,0x1.67f72dad00000p+2,,,,,
184,random,0x1.8fd2eebc00000p-1,0x1.1a54431b00000p+2,,,,,
185,random,0x1.11d0be5c80000p+2,0x1.5a6f46a100000p+2,,,,,
186,random,0x1.d375246580000p+2,0x1.67dca4f000000p-2,,,,,
187,random,0x1.08324e0700000p+1,0x1.59d6d6bf00000p+2,,,,,
188,random,0x1.750e942e40000p+3,0x1.df3efeae00000p+1,,,,,
189,random,0x1.010e2d8000000p-6,0x1.cd179f0d00000p+2,,,,,
190,random,0x1.784aae5d00000p+1,0x1.2436e83f00000p+2,,,,,
191,random,0x1.1509c9b9c0000p+3,0x1.8c220abb00000p+2,,,,,
192,random,0x1.f0a66ef380000p+2,0x1.935031cb00000p+2,,,,,
193,random,0x1.a066b1e800000p-2,0x1.920aa1bc00000p+0,,,,,
194,random,0x1.0dee684e40000p+3,0x1.c6d81c7f00000p+2,,,,,
195,random,0x1.4a49bf9d80000p+2,0x1.ee77a8bd00000p+2,,,,,
196,random,0x1.0f82225e80000p+2,0x1.f510770c00000p+0,,,,,
197,random,0x1.f4c05c4580000p+2,0x1.8be937cd00000p+2,,,,,
198,random,0x1.67b86c5f40000p+3,0x1.54db257800000p-1,,,,,
199,random,0x1.71ef274840000p+3,0x1.753617de00000p+1,,,,,
200,random,0x1.5849dc5c00000p-1,0x1.8250d02e00000p+1,,,,,
201,random,0x1.70db6c2740000p+3,0x1.73d7b09d00000p+2,,,,,
202,random,0x1.c4b5343500000p+1,0x1.532903ee00000p+1,,,,,
203,random,0x1.52ae793900000p+1,0x1.acc57e7600000p+1,,,,,
204,random,0x1.7f55adff40000p+3,0x1.49482a2b00000p+2,,,,,
205,random,0x1.b70458f600000p+0,0x1.fa45fdd700000p+2,,,,,
206,random,0x1.4f8d1a4640000p+3,0x1.6fb9874e00000p+1,,,,,
207,random,0x1.aafd180080000p+2,0x1.8cd6ac8f00000p+2,,,,,
208,random,0x1.48ec77b980000p+2,0x1.69ecdb1300000p+2,,,,,
209,random,0x1.512c2d4680000p+2,0x1.307e3f5a00000p+1,,,,,
210,random,0x1.5ee9d84c40000p+3,0x1.9ac6edf800000p-1,,,,,
211,random,0x1.9426b3e280000p+2,0x1.818b337e00000p+1,,,,,
212,random,0x1.01838456c0000p+3,0x1.2e04341100000p+2,,,,,
213,random,0x1.2aee4bf040000p+3,0x1.b11ebfbd00000p+2,,,,,
214,random,0x1.7e3787d6c0000p+3,0x1.ce33f1ea00000p+1,,,,,
215,random,0x1.45dc377380000p+2,0x1.0c92fcfb00000p+2,,,,,
216,random,0x1.2625ad0540000p+3,0x1.5d62f5d200000p+1,,,,,
217,random,0x1.9e451b2880000p+2,0x1.d940d81d00000p+2,,,,,
218,random,0x1.37066847c0000p+3,0x1.967678f200000p+1,,,,,
219,random,0x1.291141f8c0000p+3,0x1.82afa5d900000p+2,,,,,
220,random,0x1.4e7290f740000p+3,0x1.7051e46600000p+1,,,,,
221,random,0x1.531ac5b0c0000p+3,0x1.f76c7f1900000p+2,,,,,
222,random,0x1.75fda1e180000p+2,0x1.f54358e000000p-3,,,,,
223,random,0x1.ac312dfd80000p+2,0x1.6f8f77c400000p+0,,,,,
224,random,0x1.fe0e664000000p-5,0x1.2c39360000000p-7,,,,,
225,random,0x1.51c5872640000p+3,0x1.79ffd0c900000p+2,,,,,
226,random,0x1.08cf00a980000p+2,0x1.9ce2f20700000p+2,,,,,
227,random,0x1.3a08f04940000p+3,0x1.17c35fb900000p+2,,,,,
228,random,0x1.1b65693d80000p+2,0x1.7a38787a00000p+1,,,,,
229,random,0x1.66559a7680000p+2,0x1.23d230c900000p+2,,,,,
230,random,0x1.c55ad1e380000p+2,0x1.06e94aad00000p+2,,,,,
231,random,0x1.42144674c0000p+3,0x1.aa963f5000000p-2,,,,,
232,random,0x1.0635145140000p+3,0x1.9195901300000p+2,,,,,
233,random,0x1.31c8165140000p+3,0x1.5692b96b00000p+2,,,,,
234,random,0x1.2524bd6dc0000p+3,0x1.97f2f6e800000p-1,,,,,
235,random,0x1.30a0859300000p+1,0x1.ade3519a00000p+1,,,,,
236,random,0x1.d52c7cbd80000p+2,0x1.d605c62f00000p+2,,,,,
237,random,0x1.ac643d6980000p+2,0x1.ba9c451c00000p+0,,,,,
238,random,0x1.1da172d840000p+3,0x1.fe21c9cd00000p+2,,,,,
239,random,0x1.11b5a1de00000p+0,0x1.4b60d53900000p+2,,,,,
240,random,0x1.d9f78fad80000p+2,0x1.03cdf1e000000p-3,,,,,
241,random,0x1.006822ca40000p+3,0x1.07c9c66500000p+2,,,,,
242,random,0x1.4fe8708fc0000p+3,0x1.0c7401d700000p+2,,,,,
243,random,0x1.c0c1011e00000p+0,0x1.b801eadf00000p+2,,,,,
244,random,0x1.48796e3a40000p+3,0x1.70842ede00000p+1,,,,,
245,random,0x1.6b227cc940000p+3,0x1.d896697000000p-2,,,,,
246,random,0x1.472ce25700000p+1,0x1.a39da0f600000p+1,,,,,
247,random,0x1.09b386d540000p+3,0x1.ab0da38c00000p+0,,,,,
248,random,0x1.836126be80000p+2,0x1.0d7a0def00000p+2,,,,,
249,random,0x1.7149187280000p+2,0x1.30af62db00000p+2,,,,,
250,random,0x1.7a91221600000p+0,0x1.3b72ce5600000p+1,,,,,
251,random,0x1.6b6e8eea00000p+0,0x1.910c1c5500000p+2,,,,,
252,random,0x1.1ee4110b40000p+3,0x1.e8156f3d00000p+2,,,,,
253,random,0x1.427adc2f00000p+1,0x1.9906cf5b00000p+2,,,,,
254,random,0x1.57057bae00000p+0,0x1.9e0ed1b900000p+2,,,,,
255,random,0x1.699d212440000p+3,0x1.da14e6b400000p+0,,,,,
256,random,0x1.7e82db43c0000p+3,0x1.45871ce400000p+0,,,,,
257,random,0x1.b8f3f2fe00000p+0,0x1.8411cfa300000p+2,,,,,
258,random,0x1.09dde712c0000p+3,0x1.e1a8bb2300000p+2,,,,,
259,random,0x1.da1bf98100000p+1,0x1.6e89717b00000p+2,,,,,
260,random,0x1.b3a3ae8600000p+0,0x1.1621c61700000p+2,,,,,
261,random,0x1.efc8cda800000p-2,0x1.513dcf7e00000p+1,,,,,
262,random,0x1.d922f1b180000p+2,0x1.d7bfb9d100000p+2,,,,,
263,random,0x1.072e303540000p+3,0x1.51f46b0900000p+2,,,,,
264,random,0x1.d503ab0680000p+2,0x1.3c4aa9f200000p+1,,,,,
265,random,0x1.1406883e00000p+0,0x1.0efca79600000p+1,,,,,
266,random,0x1.886ab51280000p+2,0x1.c736534600000p+1,,,,,
267,random,0x1.4da3168980000p+2,0x1.4203821a00000p+1,,,,,
268,random,0x1.0dd0ce4840000p+3,0x1.e0aaff2300000p+2,,,,,
269,random,0x1.199de35ec0000p+3,0x1.8e31e50600000p+1,,,,,
270,random,0x1.3912c00380000p+2,0x1.118b8b8900000p+2,,,,,
271,random,0x1.4537ad7340000p+3,0x1.30d7be0900000p+2,,,,,
272,random,0x1.2c08c262c0000p+3,0x1.a0e3417e00000p+1,,,,,
273,random,0x1.a41b5afd80000p+2,0x1.b500e94a00000p+1,,,,,
274,random,0x1.48d4513fc0000p+3,0x1.b69cacd300000p+2,,,,,
275,random,0x1.5bc7527880000p+2,0x1.b9056af600000p+1,,,,,
276,random,0x1.eeee4b6000000p-4,0x1.a8e5efc200000p+1,,,,,
277,random,0x1.f5ebf11600000p+0,0x1.64c55b5300000p+2,,,,,
278,random,0x1.7548c23e40000p+3,0x1.2c7ede9200000p+1,,,,,
279,random,0x1.6731b76840000p+3,0x1.91ad9f6b00000p+2,,,,,
280,random,0x1.18f849d940000p+3,0x1.3bb76f5900000p+2,,,,,
281,random,0x1.c161150180000p+2,0x1.13ccb1c700000p+2,,,,,
282,random,0x1.3282e7c200000p+0,0x1.ad2a27ad00000p+2,,,,,
283,random,0x1.2bca815940000p+3,0x1.24007e5200000p+1,,,,,
284,random,0x1.ca37c82500000p+1,0x1.40ba00b600000p+1,,,,,
285,random,0x1.01fa13ca40000p+3,0x1.b9b04d6800000p-1,,,,,
286,random,0x1.b5c4434e80000p+2,0x1.933beca800000p-1,,,,,
287,random,0x1.c129e32b80000p+2,0x1.67f20bd800000p-1,,,,,
288,random,0x1.a25420ee80000p+2,0x1.592221e600000p+1,,,,,
289,random,0x1.570066a7c0000p+3,0x1.d2e0f2a100000p+2,,,,,
290,random,0x1.dab965ef00000p+1,0x1.7e714a8a00000p+1,,,,,
291,random,0x1.62353d8e80000p+2,0x1.d8a00c2300000p+2,,,,,
292,random,0x1.1103f63000000p-3,0x1.6d9ded1200000p+1,,,,,
293,random,0x1.8a834ef780000p+2,0x1.16f586ed00000p+2,,,,,
294,random,0x1.9bfc0ca980000p+2,0x1.b272fae000000p-3,,,,,
295,random,0x1.29facd5a40000p+3,0x1.3ec9724000000p-4,,,,,
296,random,0x1.3fce170280000p+2,0x1.3f53a20c00000p+0,,,,,
297,random,0x1.26edb7a140000p+3,0x1.e9789f6b00000p+2,,,,,
298,random,0x1.3521988a40000p+3,0x1.3faa10e900000p+2,,,,,
299,random,0x1.4625b0c280000p+2,0x1.9500973500000p+2,,,,,
300,random,0x1.f662fad880000p+2,0x1.d052db0800000p-1,,,,,
301,random,0x1.25d2b2a680000p+2,0x1.861174b300000p+2,,,,,
302,random,0x1.abd1a48f80000p+2,0x1.0c4085c200000p+1,,,,,
303,random,0x1.0f8666c240000p+3,0x1.4923ce8e00000p+1,,,,,
304,random,0x1.75fe950040000p+3,0x1.c042f11c00000p+0,,,,,
305,random,0x1.444d375d00000p+1,0x1.77a0d47a00000p+1,,,,,
306,random,0x1.10c2c7a240000p+3,0x1.c4ab10c400000p+0,,,,,
307,random,0x1.3d6f41b0c0000p+3,0x1.1f26636700000p+2,,,,,
308,random,0x1.17a0ae9440000p+3,0x1.24c83dc400000p+0,,,,,
309,random,0x1.5f34605fc0000p+3,0x1.f7052d3a00000p+1,,,,,
310,random,0x1.a51eb50400000p-1,0x1.c835053600000p+1,,,,,
311,random,0x1.ed76b27e00000p+0,0x1.28a8a8bb00000p+2,,,,,
312,random,0x1.82ed09e800000p-2,0x1.79dccbf300000p+2,,,,,
313,random,0x1.24ca050ec0000p+3,0x1.a5cadff100000p+2,,,,,
314,random,0x1.9b6b8e4980000p+2,0x1.dfc3ad4c00000p+0,,,,,
315,random,0x1.32dee7b580000p+2,0x1.052940d500000p+2,,,,,
316,random,0x1.c91e7a8100000p+1,0x1.c02536ab00000p+2,,,,,
317,random,0x1.1641cd6040000p+3,0x1.dfe0e13d00000p+2,,,,,
318,random,0x1.d8397fdc00000p-1,0x1.de12194300000p+2,,,,,
319,random,0x1.29796e2400000p-1,0x1.710d374900000p+2,,,,,
320,random,0x1.7a23a8d3c0000p+3,0x1.c529623700000p+2,,,,,
321,random,0x1.776cab7b00000p+1,0x1.dff8c30100000p+2,,,,,
322,random,0x1.727c08eb40000p+3,0x1.0824677c00000p+0,,,,,
323,random,0x1.684eb42700000p+1,0x1.d68974e300000p+2,,,,,
324,random,0x1.42348df340000p+3,0x1.31a8368100000p+2,,,,,
325,random,0x1.39dcefa400000p-1,0x1.2fc00ba100000p+2,,,,,
326,random,0x1.06166cc640000p+3,0x1.3eb4334d00000p+2,,,,,
327,random,0x1.884b2cb900000p+1,0x1.66fff29000000p-2,,,,,
328,random,0x1.4c4fb1b280000p+2,0x1.64f9176d00000p+2,,,,,
329,random,0x1.823296f080000p+2,0x1.c8f2355400000p+0,,,,,
330,random,0x1.2b071a0ac0000p+3,0x1.0c2b07b500000p+2,,,,,
331,random,0x1.233d466c40000p+3,0x1.e978f13700000p+2,,,,,
332,random,0x1.06d31aadc0000p+3,0x1.80c5351500000p+2,,,,,
333,random,0x1.130b13a6c0000p+3,0x1.00036fa700000p+2,,,,,
334,random,0x1.69febfc4c0000p+3,0x1.fb61973900000p+2,,,,,
335,random,0x1.2e8598f940000p+3,0x1.78b5a44000000p-4,,,,,
336,random,0x1.31eff290c0000p+3,0x1.eb8245aa00000p+1,,,,,
337,random,0x1.c7ec007b80000p+2,0x1.8906cc2100000p+2,,,,,
338,random,0x1.8660e7a380000p+2,0x1.6033973300000p+2,,,,,
339,random,0x1.0a2590bdc0000p+3,0x1.b0a4e55800000p-1,,,,,
340,random,0x1.72e94da600000p+0,0x1.d85c67dd00000p+2,,,,,
341,random,0x1.4082de3840000p+3,0x1.800c37e500000p+2,,,,,
342,random,0x1.04962adcc0000p+3,0x1.ef7e3ebf00000p+2,,,,,
343,random,0x1.dfe9145580000p+2,0x1.6f0cba6000000p-3,,,,,
344,random,0x1.c7b6fab200000p+0,0x1.9ccd28b100000p+2,,,,,
345,random,0x1.79917c8e40000p+3,0x1.05b804d500000p+2,,,,,
346,random,0x1.c5c5848e00000p+0,0x1.607002a100000p+2,,,,,
347,random,0x1.1469f07e00000p+0,0x1.dc5c0bf300000p+2,,,,,
348,random,0x1.40bb18aec0000p+3,0x1.5f4e23ba00000p+1,,,,,
349,random,0x1.77976c80c0000p+3,0x1.a62f215400000p+0,,,,,
350,random,0x1.384aaf2280000p+2,0x1.f6f8b76a00000p+1,,,,,
351,random,0x1.7ae10f4140000p+3,0x1.5f47b44d00000p+2,,,,,
352,random,0x1.db16b61b80000p+2,0x1.d87938cf00000p+2,,,,,
