ordinal,region_id,x_hex,y_hex
42,42,0x1.9ae174215a5a6p-5,0x1.a61baae1edb3cp-1
43,43,0x1.62991bcbfae96p-4,0x1.f52cb1ba216ffp-1
44,44,0x1.5f018e31362b1p-3,0x1.67112a4a50e93p-1
45,45,0x1.ccb25800183ecp-3,0x1.a9f494e393cd3p-1
46,46,0x1.6bef19ae5d71ep-2,0x1.c96c8d2d83cbbp-1
47,47,0x1.90797b8fc1822p-2,0x1.fd2d27309eb2ap-1
48,48,0x1.00bb3f6e25d11p-1,0x1.6db43d7dfd50ep-1
49,49,0x1.3f72881c1e9e7p-1,0x1.b17e88ae3d634p-1
50,50,0x1.a2485a636a913p-1,0x1.237a596ee4400p+0
51,51,0x1.0cbaa5583e6f7p+0,0x1.ea7eb895ab28ep-1
52,52,0x1.2915a1f6621fdp+0,0x1.c7ef6d5f73ab0p-1
53,53,0x1.66504d3b017d0p+0,0x1.a4908cbb88319p-1
54,54,0x1.9d179eb6b1093p+0,0x1.079bb500b59fap+0
55,55,0x1.d4535a3f701dfp+0,0x1.72fde39c5451dp-1
56,56,0x1.f259985321c83p+0,0x1.afdcf809399c7p-1
57,57,0x1.2b3ba71f23712p+1,0x1.18e1010a71a11p+0
58,58,0x1.448c28d02e506p+1,0x1.9c903f1a13284p-1
59,59,0x1.5ee4e1e9cc31ep+1,0x1.243260351277ap+0
60,60,0x1.a1cec13e124d0p+1,0x1.b6967653a379fp-1
61,61,0x1.c3440399c4f73p+1,0x1.02f333d0d152ap+0
62,62,0x1.e0794b158b52bp+1,0x1.22bc0eaae335ap+0
63,63,0x1.0cf37589368c6p+2,0x1.c083a44fc9272p-1
64,64,0x1.2794ea0b01b3ap+2,0x1.ee8c17fdbc436p-1
65,65,0x1.2fa3077063d58p+2,0x1.6f1ffc7b26302p-1
66,66,0x1.50f94c7293925p+2,0x1.6ecb778bf304ep-1
67,67,0x1.67c00a3de6206p+2,0x1.8c8405ee6bef0p-1
68,68,0x1.8c758539f00b4p+2,0x1.6fb101cfc8dc7p-1
69,69,0x1.a07fe486ea752p+2,0x1.c17b8321999fap-1
70,70,0x1.ba4f230f3805fp+2,0x1.aea45fb610d2dp-1
71,71,0x1.e4726155113bdp+2,0x1.1858837d41e5bp+0
72,72,0x1.fcdfca6c051fbp+2,0x1.daabe29a98c15p-1
73,73,0x1.08754c4db970cp+3,0x1.b89c4c9c6c662p-1
74,74,0x1.1b0a55ef9a4aep+3,0x1.07be17152ba55p+0
75,75,0x1.31781105af267p+3,0x1.eb96e532aa720p-1
76,76,0x1.42ef22c930443p+3,0x1.d683ebfd2daa8p-1
77,77,0x1.573cea917f0fep+3,0x1.b9fc5cb2178d9p-1
78,78,0x1.61038227998d4p+3,0x1.abd65e8d10495p-1
79,79,0x1.727c54835f682p+3,0x1.b21917285e3abp-1
80,80,0x1.e96d7d8412b7dp-9,0x1.579e9761392a5p+0
81,81,0x1.2de3a110f7d15p-6,0x1.949398a52db20p+0
82,82,0x1.f564f4ecbe8b1p-5,0x1.b28144029a1a9p+0
83,83,0x1.86189f92c6ccfp-4,0x1.8174cb2b10d92p+0
84,84,0x1.61a7db3929ba3p-3,0x1.bd89bfb11d464p+0
85,85,0x1.c0d6d80f7ba26p-3,0x1.5571498005dbfp+0
86,86,0x1.5db8cc75f6770p-2,0x1.9fa8ffb375c59p+0
87,87,0x1.9606188bfb45cp-2,0x1.4fd252b9680acp+0
88,88,0x1.099432d6f5db5p-1,0x1.6ef927a6e2d72p+0
89,89,0x1.4aef63ea429c8p-1,0x1.84b9d92d6da76p+0
90,90,0x1.9d5b42a40f6c3p-1,0x1.663e736170b5dp+0
91,91,0x1.04a625d1cf71bp+0,0x1.a28dfd93e39f5p+0
92,92,0x1.21835d2aa1235p+0,0x1.5babe3b254b43p+0
93,93,0x1.67e0f7b6b0a8dp+0,0x1.9c417bcc1271ep+0
94,94,0x1.96d6d1e1842a1p+0,0x1.922445d1a8ae7p+0
95,95,0x1.b5f16ec9a56e0p+0,0x1.6218c075ecb7ep+0
96,96,0x1.f4cba832da02bp+0,0x1.580e0a4badebcp+0
97,97,0x1.2deae40a4a389p+1,0x1.5c73def75d4cep+0
98,98,0x1.42dc1bde4f10bp+1,0x1.5ec7b45f16ce5p+0
99,99,0x1.686629b0220b8p+1,0x1.bb54b1ed89bcap+0
100,100,0x1.89a66d63f64d6p+1,0x1.855d60421b186p+0
101,101,0x1.af3695e4fb030p+1,0x1.a4afe37b196b4p+0
102,102,0x1.e35738f03a728p+1,0x1.a95c756c86b5cp+0
103,103,0x1.0577adb5b29f4p+2,0x1.82c80d6a13376p+0
104,104,0x1.27891e2119290p+2,0x1.4d49b3d26d0d9p+0
105,105,0x1.394164c2655e8p+2,0x1.55ccffbb92f07p+0
106,106,0x1.565f2af4459bfp+2,0x1.5bd5dde83493ap+0
107,107,0x1.73ab14dc37b93p+2,0x1.87100abf86588p+0
108,108,0x1.87148ca49704bp+2,0x1.8999178862b93p+0
109,109,0x1.a0e99adf10b92p+2,0x1.a75e64ec14c7cp+0
110,110,0x1.b72b4a4b7b250p+2,0x1.6fcf828555e66p+0
111,111,0x1.e41fd51f9049bp+2,0x1.be24943d25a8bp+0
112,112,0x1.f1ee80dfaac84p+2,0x1.b7953f13e2087p+0
113,113,0x1.09f19bd390e7bp+3,0x1.6a7e9170c0c92p+0
114,114,0x1.18ce77f342e80p+3,0x1.52fa73d30efa6p+0
115,115,0x1.2c611f0604199p+3,0x1.80ce6ef89cc3dp+0
116,116,0x1.408662000017cp+3,0x1.b4a2f7dcb61bbp+0
117,117,0x1.5386f64648734p+3,0x1.6d9818fc21240p+0
118,118,0x1.64038f9eace13p+3,0x1.58f0ccbe6cd21p+0
119,119,0x1.77001740a2789p+3,0x1.aa800bc8b446bp+0
120,120,0x1.9f991213ccc1dp-9,0x1.e673910169277p+0
121,121,0x1.58c8d100e7ff1p-6,0x1.16bebc784e8f9p+1
122,122,0x1.c02db523a73b1p-5,0x1.00569e17586c6p+1
123,123,0x1.8a05aacada225p-4,0x1.0c203bf28355bp+1
124,124,0x1.5ec60ac61dbb8p-3,0x1.2312f578d891dp+1
125,125,0x1.0168a81d04cedp-2,0x1.e2230688fd90cp+0
126,126,0x1.4a136d0b4a3e7p-2,0x1.e79a99231392fp+0
127,127,0x1.c5ce8a4808143p-2,0x1.faa171a4cade9p+0
128,128,0x1.159836f8f3b02p-1,0x1.e1dee5274d20fp+0
129,129,0x1.43b1d9d934d60p-1,0x1.2265cb86f1a47p+1
130,130,0x1.a1bb9405d57f9p-1,0x1.127fd823c51eap+1
131,131,0x1.0295be504d7acp+0,0x1.13c04efd6f906p+1
132,132,0x1.2a9547bdbc04dp+0,0x1.0e6556cd20759p+1
133,133,0x1.704dbea57a8d4p+0,0x1.fd1816ff48f40p+0
134,134,0x1.a23ba570c0ebap+0,0x1.f080926532c49p+0
135,135,0x1.b65e89d322a39p+0,0x1.ed8c8972ddd0fp+0
136,136,0x1.f9e099339d0d4p+0,0x1.02eed8e1cebbap+1
137,137,0x1.2854d0a00567ep+1,0x1.1b77b5417366cp+1
138,138,0x1.4471a4f927ca8p+1,0x1.f40c69a9a11a7p+0
139,139,0x1.70b937d08f084p+1,0x1.f8c04587bab99p+0
140,140,0x1.9c55a30d0bb7ep+1,0x1.f1f70e0b2f946p+0
141,141,0x1.b571b7077a823p+1,0x1.1638dbf3db0efp+1
142,142,0x1.da17b0b09bfdbp+1,0x1.fd564b4d67cfep+0
143,143,0x1.04b02757a599cp+2,0x1.24bf0508e9ef8p+1
144,144,0x1.1ef9d86c00434p+2,0x1.1790dd148fa30p+1
145,145,0x1.32aa313a8dc03p+2,0x1.243ec3cd490a5p+1
146,146,0x1.4a8782299b80ep+2,0x1.1680f20ac78f0p+1
147,147,0x1.6f9afa325ab7bp+2,0x1.20da9a73b71ffp+1
148,148,0x1.7cac5f43b7e7bp+2,0x1.df0b6c7c1b89bp+0
149,149,0x1.98c7465e3cdf3p+2,0x1.0390d370d4c85p+1
150,150,0x1.c3846d9b0a620p+2,0x1.ff9c9fb9cda5bp+0
151,151,0x1.df736c9984808p+2,0x1.0e80c2bef93aap+1
152,152,0x1.f2225f1ad893fp+2,0x1.07a1e347c729ep+1
153,153,0x1.0c88c311aed2ap+3,0x1.061b8155c4c20p+1
154,154,0x1.2089b02ce013ap+3,0x1.fd98f1dff08f4p+0
155,155,0x1.2cd78cbe5d176p+3,0x1.09beabf87bba7p+1
156,156,0x1.3f9cc3bca48ffp+3,0x1.030bcf4f53a7ep+1
157,157,0x1.4e90c18afe687p+3,0x1.23994886ee325p+1
158,158,0x1.64aaa0da111d2p+3,0x1.1005ca7a14612p+1
159,159,0x1.7584feb959a7bp+3,0x1.eff619a04ef24p+0
160,160,0x1.560e9fe24b6e8p-9,0x1.44e1557f61a96p+1
161,161,0x1.7bfdc83128ebbp-6,0x1.48493351feacap+1
162,162,0x1.fd758061b431dp-5,0x1.61b5786034645p+1
163,163,0x1.8020e0e487c75p-4,0x1.5007def914393p+1
164,164,0x1.0613f224a70b1p-3,0x1.4a19c69286e25p+1
165,165,0x1.99aa4c3252e38p-3,0x1.5b05ba28ea44dp+1
166,166,0x1.545302045560dp-2,0x1.545e5834c5469p+1
167,167,0x1.b83a1f9ea23c2p-2,0x1.53e3cafd26f5ep+1
168,168,0x1.17db1791bd21cp-1,0x1.3f3e007b7db4fp+1
169,169,0x1.70d30604b313bp-1,0x1.62c426cc9708ep+1
170,170,0x1.c31cda3072ecdp-1,0x1.3592ae6056f59p+1
171,171,0x1.e8496ff72f9d6p-1,0x1.50fffea2afda3p+1
172,172,0x1.1ed5640bbe0a4p+0,0x1.3c8524ed06cebp+1
173,173,0x1.6d25f8607c0b6p+0,0x1.43a8e20944f85p+1
174,174,0x1.a8dc92b02e2bdp+0,0x1.62b1dd55359b4p+1
175,175,0x1.be96b88ab315fp+0,0x1.398669b61bd92p+1
176,176,0x1.fecb75d9ed48ap+0,0x1.4e88bd1fa35d1p+1
177,177,0x1.1fa49da344db3p+1,0x1.5a8638c39e43ap+1
178,178,0x1.4bce1768a281fp+1,0x1.68ccc5b07e01ep+1
179,179,0x1.5f624acbe317ap+1,0x1.4d381cadd4d61p+1
180,180,0x1.9360f5c2045e5p+1,0x1.37efb89e7f0d9p+1
181,181,0x1.b0668d3b23347p+1,0x1.3ba465c100fa5p+1
182,182,0x1.eba492f27b3e5p+1,0x1.4677c70f8d029p+1
183,183,0x1.10d36f064e95cp+2,0x1.4329bf05c3735p+1
184,184,0x1.1b0c14c93c899p+2,0x1.54a0dd2e80199p+1
185,185,0x1.40f79170d552ap+2,0x1.51a824377f6dap+1
186,186,0x1.4a23995e51d5dp+2,0x1.51e8ede65230ap+1
187,187,0x1.6a877bd41792bp+2,0x1.5bc1d63eea589p+1
188,188,0x1.846f47c22f7adp+2,0x1.63d5c1a8a30e7p+1
189,189,0x1.a416d002d5490p+2,0x1.445480fbb9c76p+1
190,190,0x1.bfe4f94c3c152p+2,0x1.65e42ac1aa3a3p+1
191,191,0x1.dbc5d097cbfb8p+2,0x1.345a30a157c54p+1
192,192,0x1.fe5db528bc616p+2,0x1.43ce35ee855d5p+1
193,193,0x1.1002b16d7f67dp+3,0x1.5bff8a9db3396p+1
194,194,0x1.1c98f26020d56p+3,0x1.3cffbc20b32aap+1
195,195,0x1.3343dff5a00a3p+3,0x1.472e6599d816bp+1
196,196,0x1.4113fb1c3f44ep+3,0x1.36e0532e146fep+1
197,197,0x1.4fbb3b00fba93p+3,0x1.4669e9700f9c9p+1
198,198,0x1.657b43a92f27ap+3,0x1.5f44235a75b16p+1
199,199,0x1.7d77063f85516p+3,0x1.48f0b1be1af7ap+1
200,200,0x1.26950b3f30e51p-8,0x1.8b08f885832b1p+1
201,201,0x1.96423b11d9256p-7,0x1.a64ad37f5b1eep+1
202,202,0x1.557540a21a49ap-5,0x1.a08a80eedc6d5p+1
203,203,0x1.4a6a4316ca3f7p-4,0x1.919c2fae5d0efp+1
204,204,0x1.07cf4e9849538p-3,0x1.7b1589462885ap+1
205,205,0x1.e65688c2fbe52p-3,0x1.86e4cb9e59825p+1
206,206,0x1.61df8132cb65ap-2,0x1.8b196b8aedc50p+1
207,207,0x1.c2945eb3dc43bp-2,0x1.86ce47f6b6f82p+1
208,208,0x1.2be360a62db59p-1,0x1.9cc8d8af73e74p+1
209,209,0x1.3eeb625acd8d7p-1,0x1.7edd19c1ba213p+1
210,210,0x1.a7fb3aad06952p-1,0x1.7ae5f5ba40ea8p+1
211,211,0x1.eff3fe519035ep-1,0x1.7d1ae6cd4e6aep+1
212,212,0x1.266f6e86c5550p+0,0x1.9ada142e95ae2p+1
213,213,0x1.55f0caf88e98dp+0,0x1.813ddc49df9a7p+1
214,214,0x1.88e6773f73aa4p+0,0x1.9acdf8b4e56e9p+1
215,215,0x1.babba008ee95dp+0,0x1.938ece36163fbp+1
216,216,0x1.07accd2c4a119p+1,0x1.8b63f2aa5c235p+1
217,217,0x1.211f13d5d6b4ep+1,0x1.9c1b08297ac0ep+1
218,218,0x1.55a929fc9bd7fp+1,0x1.78f513af1b4d8p+1
219,219,0x1.7959aa2e93cb5p+1,0x1.91ed518251c14p+1
220,220,0x1.8ae0659eb4b1ap+1,0x1.7865bf5a9ca5fp+1
221,221,0x1.bc8030b6eb1efp+1,0x1.a7dfbbfb113aap+1
222,222,0x1.e3444ca6dc7a1p+1,0x1.a5089ca8e147dp+1
223,223,0x1.08dcf518cde99p+2,0x1.8020b7e8dccedp+1
224,224,0x1.24fea4e542322p+2,0x1.a6fc9d5c64172p+1
225,225,0x1.35d15f110029dp+2,0x1.83d181a2ed928p+1
226,226,0x1.5472a7660abcep+2,0x1.aa2c3bf96c052p+1
227,227,0x1.61cf03f590e2cp+2,0x1.92a2c405ddcb9p+1
228,228,0x1.7f1cf800d7cdap+2,0x1.92550c1e29d17p+1
229,229,0x1.9a15e796dcd91p+2,0x1.7fd8963ce7357p+1
230,230,0x1.bf3677bdb7331p+2,0x1.9cbe163b44bebp+1
231,231,0x1.d5feca932e01dp+2,0x1.9fc2dbb7c097bp+1
232,232,0x1.012339a0d34fcp+3,0x1.926642ab4d25ep+1
233,233,0x1.070140ac056efp+3,0x1.9a07f3af6e382p+1
234,234,0x1.22d3e227f0016p+3,0x1.829a5059607a8p+1
235,235,0x1.30a0d8562e206p+3,0x1.9f1aa2d6ccb01p+1
236,236,0x1.457c09d3d591ep+3,0x1.7afc9df10bbacp+1
237,237,0x1.53a09dd60d2bfp+3,0x1.a9a397ae15e73p+1
238,238,0x1.6873d293302acp+3,0x1.7b5141b857690p+1
239,239,0x1.7d03b4fa14315p+3,0x1.944f1b169597bp+1
240,240,0x1.c1efcc1275b83p-10,0x1.c679c906b9c00p+1
241,241,0x1.0a369071aab1cp-6,0x1.c43635949f430p+1
242,242,0x1.c61b427310dcdp-5,0x1.b80bf81edd138p+1
243,243,0x1.308e5ec836040p-4,0x1.d5ba9ce412c18p+1
244,244,0x1.62d7eb77c1b07p-3,0x1.c23ff3f0d8c84p+1
245,245,0x1.efd66358580dap-3,0x1.d5ca943b6a632p+1
246,246,0x1.383acd343f54ap-2,0x1.e589a25d5e0f7p+1
247,247,0x1.bc5478d89cba9p-2,0x1.d0d239ddb36e4p+1
248,248,0x1.2661ca3627bedp-1,0x1.c7358a83ad608p+1
249,249,0x1.62e14fe11fd2bp-1,0x1.dee59f5bebbebp+1
250,250,0x1.ac7c8f3135fcdp-1,0x1.d63ca487d782cp+1
251,251,0x1.e38a3fbe93b73p-1,0x1.d956471c10f09p+1
252,252,0x1.2d350aefb2364p+0,0x1.bb8a29cecac08p+1
253,253,0x1.653aa059a0b4fp+0,0x1.dd2e0df9532e4p+1
254,254,0x1.8cccdf2c936f7p+0,0x1.df89b5e59c980p+1
255,255,0x1.d4361f680b124p+0,0x1.c557c5f23f897p+1
256,256,0x1.0b7c3eb5f7d8ap+1,0x1.cbee772d6349dp+1
257,257,0x1.1d9847ff11bcbp+1,0x1.c14fa2a6424cep+1
258,258,0x1.45d1c3a23a244p+1,0x1.d80551e26d915p+1
259,259,0x1.5ea1fb1062ea5p+1,0x1.cbd0009a84efcp+1
260,260,0x1.9fb496496a40ap+1,0x1.e35cd728d8370p+1
261,261,0x1.b32e52f3d3148p+1,0x1.c492ab840153ap+1
262,262,0x1.dbfea3ed5077fp+1,0x1.be541b1f12b06p+1
263,263,0x1.07081c3c6c4abp+2,0x1.cf21cd10700a3p+1
264,264,0x1.1d39933422cbap+2,0x1.e56888fdba51cp+1
265,265,0x1.3ecf4780d7604p+2,0x1.cac516d49fb65p+1
266,266,0x1.4e0794c9530e5p+2,0x1.be58102da4254p+1
267,267,0x1.66e11e1f4a41bp+2,0x1.ba04c7419a43ep+1
268,268,0x1.84e2db4247618p+2,0x1.bff913419db62p+1
269,269,0x1.a508aa00f0f19p+2,0x1.ba53f3e97d6afp+1
270,270,0x1.b9392a284e3dfp+2,0x1.beb49efa97fe2p+1
271,271,0x1.d943eba0226e2p+2,0x1.ba2cf4a00decfp+1
272,272,0x1.02121f42453b6p+3,0x1.c2e16e6d6757bp+1
273,273,0x1.0ac44e9f299cap+3,0x1.c5e6c2b6b65f4p+1
274,274,0x1.1ff49e3e37b16p+3,0x1.bce8dc4c6a860p+1
275,275,0x1.2babfa9d7e212p+3,0x1.e1881285376cap+1
276,276,0x1.40174f5806e1bp+3,0x1.e1ec48161368cp+1
277,277,0x1.56f07feb7fb01p+3,0x1.bef6c7e9392dfp+1
278,278,0x1.5f440f51c0625p+3,0x1.c1f439591b7f0p+1
279,279,0x1.7aa156bea2898p+3,0x1.d83135ba05068p+1
280,280,0x1.7dbdc5d198219p-9,0x1.0314910ee707ep+2
281,281,0x1.94d6c48f47681p-6,0x1.f712fda70ccc8p+1
282,282,0x1.b5df6f2bc5477p-5,0x1.0473a1866b54ep+2
283,283,0x1.5700efab9c637p-4,0x1.059e541938ae0p+2
284,284,0x1.3abcf58013c6bp-3,0x1.0e2aa7bb16d5ap+2
285,285,0x1.0798090e26f52p-2,0x1.047662c3196ffp+2
286,286,0x1.1eb536ab90aa5p-2,0x1.039ffa0470766p+2
287,287,0x1.ab724e0b9c27ep-2,0x1.fbec0e8461e92p+1
288,288,0x1.05aba3018312fp-1,0x1.09ca61787791dp+2
289,289,0x1.4539f92b0dd8ep-1,0x1.0f0dd59dcbf1bp+2
290,290,0x1.be31e373a608dp-1,0x1.07c6a24fc45b6p+2
291,291,0x1.f43e90ef29faap-1,0x1.0fbddbd17a62cp+2
292,292,0x1.2f3033ad871b6p+0,0x1.fb388d667d13fp+1
293,293,0x1.609fb6793e26ap+0,0x1.05dbb2d066d73p+2
294,294,0x1.9fae4eb14065dp+0,0x1.00e3480d759a4p+2
295,295,0x1.e2083ae612194p+0,0x1.034d0d52eaa6bp+2
296,296,0x1.120dddc722b5ep+1,0x1.051684ef9e92cp+2
297,297,0x1.23b51f9007bf9p+1,0x1.ff976e05c5952p+1
298,298,0x1.4f2c71e79f5c6p+1,0x1.02d2284bcfcd7p+2
299,299,0x1.73876352e1a27p+1,0x1.01187e2e247c2p+2
300,300,0x1.9933a5ee530b1p+1,0x1.096074209eba1p+2
301,301,0x1.bf0c22841b55cp+1,0x1.f7168efd118a4p+1
302,302,0x1.dc0ea985769fap+1,0x1.053f4ec338249p+2
303,303,0x1.07f4fd009074fp+2,0x1.f5c13d80ca692p+1
304,304,0x1.227bbf6b33d62p+2,0x1.04a7dda5407a5p+2
305,305,0x1.3a3509e66d56dp+2,0x1.0124ccb0b68abp+2
306,306,0x1.4e38fda31f31ep+2,0x1.02dac78846376p+2
307,307,0x1.730df863c50f8p+2,0x1.0c358f0152cfep+2
308,308,0x1.8b2e0986f2e9dp+2,0x1.0630b27bbfba2p+2
309,309,0x1.9da6e5f298c78p+2,0x1.fea2565f24a03p+1
310,310,0x1.ba137ae1a63c4p+2,0x1.03d49252ead3bp+2
311,311,0x1.e005b9d79b134p+2,0x1.09b60d9fe261bp+2
312,312,0x1.01c71284591b1p+3,0x1.0041da132118ap+2
313,313,0x1.108d95cc4a969p+3,0x1.0f2ee7dfefce4p+2
314,314,0x1.20d3f79fae7e7p+3,0x1.03fbb98b8bc8dp+2
315,315,0x1.302472bbd080bp+3,0x1.07b845b836cd7p+2
316,316,0x1.45af977dbe9b4p+3,0x1.064fb180bb0eep+2
317,317,0x1.4c42386471601p+3,0x1.06c170829596dp+2
318,318,0x1.6338bd187b3eep+3,0x1.fc977315f9d76p+1
319,319,0x1.72f2250472c69p+3,0x1.f701ef8054f1ap+1
320,320,0x1.6656cd95cece7p-13,0x1.2b996173f8259p+2
321,321,0x1.719bb56c47d17p-6,0x1.2281741bf666dp+2
322,322,0x1.dc84988a0f59ep-5,0x1.1efd9eebd9665p+2
323,323,0x1.95c49661915bcp-4,0x1.28911a7da466cp+2
324,324,0x1.068140224faf3p-3,0x1.2b89c5096a103p+2
325,325,0x1.ef898c80a095dp-3,0x1.2510a6a04cfbap+2
326,326,0x1.4a0fdbeb71596p-2,0x1.1faf7fd41bfedp+2
327,327,0x1.91f77d128bd3ep-2,0x1.1df8c55dfd00cp+2
328,328,0x1.0952d5fc6a6b9p-1,0x1.2af0df423d461p+2
329,329,0x1.77fb7199420b6p-1,0x1.1ec94d0a5fadbp+2
330,330,0x1.bab5b67683e00p-1,0x1.2a2fe789087e9p+2
331,331,0x1.dcc8a7a7acdedp-1,0x1.22964742d1115p+2
332,332,0x1.25328e5d5222bp+0,0x1.2780c1381f1bdp+2
333,333,0x1.683c366aad6b3p+0,0x1.27352a0917943p+2
334,334,0x1.85b9f24555de4p+0,0x1.23a8f9e16aa00p+2
335,335,0x1.dc552e0351eaep+0,0x1.275735f46331bp+2
336,336,0x1.0482fba250cbcp+1,0x1.2617fba4d73c9p+2
337,337,0x1.1d9c4c9ce272dp+1,0x1.2988733465357p+2
338,338,0x1.5280e512ceeb8p+1,0x1.24f10c56000f7p+2
339,339,0x1.75a0b49c35beep+1,0x1.2a3d18881502bp+2
340,340,0x1.86cacd91ad579p+1,0x1.263ae7ba505d8p+2
341,341,0x1.aece62671a49fp+1,0x1.17e764a3a5eb6p+2
342,342,0x1.da7a62799c681p+1,0x1.24e78eb41c864p+2
343,343,0x1.0707fb05e49bcp+2,0x1.1c70fadf3ce56p+2
344,344,0x1.2906fb0bebeb4p+2,0x1.22738d9e9f7bcp+2
345,345,0x1.3d47e196cd80ep+2,0x1.1c8567db2701dp+2
346,346,0x1.5a2541aaed14ap+2,0x1.1c41a77ce12a9p+2
347,347,0x1.7148b2704e027p+2,0x1.27d78cc834c46p+2
348,348,0x1.8b61a6e32dab2p+2,0x1.19d1c06d1f21ap+2
349,349,0x1.a483fb7d2539ap+2,0x1.1aac2afda6413p+2
350,350,0x1.bffeff802ff33p+2,0x1.1cc8e113d9285p+2
351,351,0x1.e1c08bdd2d2a0p+2,0x1.27381b9825ad4p+2
352,352,0x1.fd83e91a2453ep+2,0x1.1764bcf6f88d8p+2
353,353,0x1.0744d7d3aa169p+3,0x1.1cf37e9468ef0p+2
354,354,0x1.1ead0ad9265fbp+3,0x1.294a114791f48p+2
355,355,0x1.31017715b700ap+3,0x1.2833b25be354ap+2
356,356,0x1.39d2ae2139453p+3,0x1.1ee2c86d165bcp+2
357,357,0x1.5772419c6173fp+3,0x1.1c702a88c1777p+2
358,358,0x1.5d833c293771fp+3,0x1.1a77724444ff5p+2
359,359,0x1.79082203372c6p+3,0x1.1fb2c94175ef7p+2
360,360,0x1.d08a99b1acfd0p-9,0x1.3c3b96b2a3843p+2
361,361,0x1.47bccddbf52eap-6,0x1.451f5f1b4c262p+2
362,362,0x1.41c5836577554p-5,0x1.357cb7b3d47b6p+2
363,363,0x1.77768b817661ep-4,0x1.31049fba8cc39p+2
364,364,0x1.45b324ef394a4p-3,0x1.3a1b5204424bfp+2
365,365,0x1.b2563fb85d636p-3,0x1.3b22aebb5026ep+2
366,366,0x1.1f9895d8bae1dp-2,0x1.392dcef46df30p+2
367,367,0x1.87d454a1efc29p-2,0x1.3bf3e61b2fd1fp+2
368,368,0x1.13861ca999f10p-1,0x1.38a5616dcce54p+2
369,369,0x1.46e0074ae0884p-1,0x1.4428d903117cap+2
370,370,0x1.8d1bb4ff7d732p-1,0x1.3b546008988f0p+2
371,371,0x1.0ea99d0fd7ed3p+0,0x1.360166e638bf7p+2
372,372,0x1.2497ddef202ecp+0,0x1.3270f5a92dd5ap+2
373,373,0x1.50df8b14fa65fp+0,0x1.33aafe80b36fdp+2
374,374,0x1.9fca7e05f56fcp+0,0x1.4159c98360ca8p+2
